,_id,Name,Type,Review-Count,Categories,Ratings,Latitude,Longitude,Transactions,Address,City,Zipcode,State,Phone,Distance
0,DGrB-YPYHqNRs0RDunQLjg,In Love Memphis,restaurants,52,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",3.9,35.049496,-89.825294,[],7144 Winchester Rd,Memphis,38125,TN,+19014178042,20728.803406474733
1,yC_xP1bacsdVIVsLSA9LCQ,Flip Side,restaurants,19,"[{'alias': 'arcades', 'title': 'Arcades'}, {'alias': 'bars', 'title': 'Bars'}]",3.7,35.15090577172833,-90.01461349632413,[],1349 Autumn Ave,Memphis,38104,TN,+19012076193,2632.0339518228234
2,Dg6AoMv3PvvWEeVWbeufYw,Absinthe Room,restaurants,66,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'poolhalls', 'title': 'Pool Halls'}, {'alias': 'arcades', 'title': 'Arcades'}]",3.8,35.139874,-90.0526106,[],162 Beale St,Memphis,38103,TN,+19015211851,2258.8401121594484
3,kksLEnXcwq7xMl6cTFMG4A,Black Lodge,restaurants,38,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'karaoke', 'title': 'Karaoke'}]",4.5,35.149922,-90.014618,[],405 N Cleveland St,Memphis,38104,TN,+19014241514,2536.1531273284654
4,lO5f79sJN1-RVeS_EXAszA,High Cotton Brewing Co. Taproom,restaurants,118,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'breweries', 'title': 'Breweries'}]",4.5,35.1407937705517,-90.040290132165,[],598 Monroe Ave,Memphis,38103,TN,+19015434444,1515.4831303010144
5,DjoF_Vsltvf4nP25Ve2sZQ,Cameo,restaurants,21,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.4,35.13504181265387,-90.0005415080826,[],1835 Union Ave,Memphis,38104,TN,+19013056911,2735.9776307755637
6,sQDYdbzPqpKSbKqQ8gh3qA,Bardog Tavern,restaurants,394,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.1,35.14421,-90.05404,"['delivery', 'pickup']",73 Monroe Ave,Memphis,38103,TN,+19012758752,2617.221088416935
7,XSnEBCn_wlkfSLNKr5dT_Q,Memphis Whistle,restaurants,19,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tradamerican', 'title': 'American'}]",4.7,35.11932,-89.98566,['delivery'],2299 Young Ave,Memphis,38104,TN,+19012367136,4250.443668828917
8,Z9S7toibIcZS8OaOBLJclA,Momma's,restaurants,37,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.4,35.12434,-90.06383,[],855 Kentucky St,Memphis,38106,TN,+19012075111,3147.117683883901
9,ipxA_nhXbAHLTSxx1hEYKA,The Pocket,restaurants,26,"[{'alias': 'speakeasies', 'title': 'Speakeasies'}]",4.2,35.14273,-90.05318,['delivery'],115 Union Ave,Memphis,38103,TN,,2464.793942166714
10,lgA9sdlDiSwyxT5v17VHBA,Cheyenne Country,restaurants,1,"[{'alias': 'divebars', 'title': 'Dive Bars'}]",5.0,35.02191448788365,-89.99789339834528,[],1976 E Shelby Dr,Memphis,38116,TN,+19013462113,12477.563969477678
11,xp16CizZGOTvb_tDWztfZA,Bog & Barley,restaurants,138,"[{'alias': 'irish', 'title': 'Irish'}, {'alias': 'irish_pubs', 'title': 'Irish Pub'}]",4.5,35.102801000793676,-89.85755464331618,[],6150 Poplar Ave,Memphis,38119,TN,+19018052262,16013.354174018194
